N,live weithg,withers height,hip height,chest depth,chest width,ilium width,hip joint width,oblique body length,hip length,heart girth,left timestamp,top timestamp,right timestamp,Data,dx,dy,dz,volume,num_points,anomaly_label,is_anomaly,anomaly
1,415,117,122,62,40,43,42,145,43,172,12.09.07.767,12.09.07.765,12.09.07.778,2019-08-15,11.694385,12.036752700000001,7.1004891,999.4820304872169,651264.0,1,False,0
2,407,116,121,60,39,42,44,127,37,171,12.15.22.153,12.15.22.142,12.15.22.188,2019-08-15,11.5736207,12.1463666,8.8247087,1240.5549570111705,651264.0,1,False,0
3,448,114,121,60,43,41,40,128,41,176,12.20.11.699,12.20.11.691,12.20.11.688,2019-08-15,11.4079576,11.9759512,8.5325638,1165.7286234217947,651264.0,1,False,0
4,443,118,123,63,46,44,44,150,46,176,12.24.08.077,12.24.08.106,12.24.08.096,2019-08-15,11.3944707,12.140296,8.0223048,1109.7434495948712,651264.0,1,False,0
5,410,124,127,66,41,42,44,140,45,178,12.27.25.234,12.27.25.197,12.27.25.276,2019-08-15,11.509395600000001,11.7962933,7.6377034,1036.9572901310707,651264.0,1,False,0
6,441,120,124,60,43,43,44,138,45,178,12.31.11.526,12.31.11.495,12.31.11.492,2019-08-15,11.481887400000002,12.0793824,7.2528749999999995,1005.9310327551404,651264.0,1,False,0
7,427,117,121,62,41,43,45,149,45,172,12.35.29.510,12.35.29.513,12.35.29.490,2019-08-15,11.3681607,12.2390475,9.1857219,1278.059630919166,651264.0,1,False,0
8,380,115,117,60,48,41,41,137,43,172,12.38.58.660,12.38.58.715,12.38.58.626,2019-08-15,12.035826199999999,12.3669453,9.4618257,1408.3587331392364,651264.0,1,False,0
9,416,118,120,62,44,42,40,140,44,175,12.44.15.015,12.44.14.992,12.44.15.007,2019-08-15,12.090695,12.005621999999999,8.973719599999999,1302.5920589941263,651264.0,1,False,0
10,424,119,122,65,46,44,40,151,46,182,12.49.59.060,12.49.59.064,12.49.59.038,2019-08-15,11.9639807,12.202547500000001,8.6964068,1269.5974971783294,651264.0,1,False,0
11,450,120,124,64,43,43,45,138,42,180,12.53.21.701,12.53.21.698,12.53.21.692,2019-08-15,11.1640887,12.3198447,7.9012832,1086.741219229503,651264.0,1,False,0
12,429,118,120,60,46,40,41,140,41,178,12.56.54.815,12.56.54.837,12.56.54.865,2019-08-15,11.3874374,12.0839095,8.1658246,1123.6563586071297,651264.0,1,False,0
13,410,117,119,61,41,41,40,143,44,179,12.59.51.528,12.59.51.546,12.59.51.501,2019-08-15,11.5309782,12.223046700000001,8.2908323,1168.5404563715424,651264.0,1,False,0
14,464,119,122,62,45,44,41,133,39,186,13.03.08.512,13.03.08.516,13.03.08.473,2019-08-15,11.3307295,12.4996624,7.8443659,1110.999844704824,651264.0,1,False,0
15,407,116,129,64,40,39,40,139,41,175,13.09.23.022,13.09.23.043,13.09.22.978,2019-08-15,12.5239501,12.584907999999999,9.3387488,1471.9059714944797,651264.0,-1,True,1
16,312,105,110,55,31,38,37,137,40,153,13.12.28.373,13.12.28.405,13.12.28.352,2019-08-15,11.247868100000002,12.426263800000001,7.5342082,1053.0485665781193,651264.0,-1,True,1
17,412,118,120,61,43,43,45,143,45,183,13.17.48.150,13.17.48.199,13.17.48.172,2019-08-15,11.7162747,12.4883027,8.7380781,1278.5239991771039,651264.0,1,False,0
18,414,120,124,63,41,42,44,144,45,181,13.21.54.549,13.21.54.530,13.21.54.513,2019-08-15,11.8408909,12.3614535,8.9606837,1311.5808490343898,651264.0,1,False,0
19,378,118,120,60,35,43,42,143,43,170,13.24.42.481,13.24.42.449,13.24.42.444,2019-08-15,11.8960605,12.103061700000001,9.0620543,1304.7432887737928,651264.0,1,False,0
20,441,121,124,64,40,43,49,152,46,181,13.27.56.516,13.27.56.530,13.27.56.550,2019-08-15,12.1820202,11.8310404,9.1969964,1325.526056113385,651264.0,1,False,0
21,373,117,120,58,38,36,43,138,41,168,13.31.25.512,13.31.25.505,13.31.25.534,2019-08-15,12.303075799999998,11.945848999999999,9.6245005,1414.5194384126305,651264.0,1,False,0
22,394,122,125,63,44,41,49,148,45,177,13.41.45.421,13.41.45.435,13.41.45.457,2019-08-15,11.283998,12.2081847,8.6044781,1185.328223162141,651264.0,1,False,0
23,439,122,125,63,44,41,49,148,45,177,13.45.59.320,13.45.59.353,13.45.59.323,2019-08-15,11.2648539,12.5156951,7.7860473,1097.7351627489104,651264.0,1,False,0
24,441,119,123,61,43,41,49,148,45,177,13.49.32.026,13.49.32.005,13.49.32.068,2019-08-15,11.6506777,12.372144200000001,8.5052133,1225.9743137320222,651264.0,1,False,0
25,434,119,121,58,42,44,43,154,46,174,13.52.04.637,13.52.04.612,13.52.04.645,2019-08-15,11.3107519,12.3361163,7.9311514999999995,1106.6395241288853,651264.0,1,False,0
26,414,118,121,65,46,41,44,142,45,174,13.56.26.530,13.56.26.514,13.56.26.505,2019-08-15,12.2176399,12.397816200000001,9.757256,1477.951606533306,651264.0,1,False,0
27,400,118,118,62,42,42,42,142,43,174,15.30.41.988,15.30.41.933,15.30.41.954,2019-08-15,11.207475599999999,12.3734351,7.3624717,1020.9905566379726,651264.0,1,False,0
28,464,125,128,65,45,42,45,159,48,183,15.36.47.065,15.36.47.071,15.36.47.043,2019-08-15,11.2917142,12.0992003,7.7898282000000005,1064.2518737653481,651264.0,1,False,0
29,442,120,124,61,44,44,48,144,47,174,15.40.36.618,15.40.36.619,15.40.36.609,2019-08-15,12.827881300000001,12.7226391,9.3394464,1524.239719191489,651264.0,-1,True,1
30,416,121,124,62,45,44,43,149,46,180,15.47.25.690,15.47.25.695,15.47.25.700,2019-08-15,12.383378,12.411159999999999,9.5310837,1464.8521328197858,651264.0,1,False,0
31,444,122,126,66,43,44,46,452,47,184,15.51.03.994,15.51.04.027,15.51.04.030,2019-08-15,11.872416,12.3641772,9.3195701,1368.0444404517164,651264.0,1,False,0
32,395,119,122,60,40,42,43,148,45,166,15.54.43.763,15.54.43.783,15.54.43.785,2019-08-15,11.115561,12.2652879,7.910049300000001,1078.420967997847,651264.0,1,False,0
33,293,115,118,55,37,37,40,133,42,157,16.03.23.517,16.03.23.566,16.03.23.521,2019-08-15,11.6362433,12.0943203,9.2403843,1300.4219543664067,651264.0,1,False,0
34,444,120,123,61,47,44,48,145,47,181,16.06.11.590,16.06.11.574,16.06.11.678,2019-08-15,11.3736119,12.2479601,8.3309368,1160.529027278946,651264.0,1,False,0
35,440,120,122,64,42,43,41,142,45,175,16.09.46.499,16.09.46.466,16.09.46.474,2019-08-15,11.8669524,12.1009226,9.4743467,1360.5263472647853,651264.0,1,False,0
